research_question,objective,question,platform_id,comparability,direct_conditions,completed_trials,required_trials,sufficient_conditions,energy_trials,evidence_status,source_condition_ids,scope_note,limitation
RQ5,Useful work efficiency,Which configurations produce the best useful work per GPU-hour and per Watt?,h100,exact,87,261,261,87,260,partial_energy_evidence,E008@h100; E009@h100; E010@h100; E011@h100; E012@h100; E013@h100; E014@h100; E015@h100; E018@h100; E019@h100; E020@h100; E021@h100; E022@h100; E023@h100; E024@h100; E025@h100; E026@h100; E027@h100; E028@h100; E029@h100; E030@h100; E031@h100; E033@h100; E034@h100; E035@h100; E036@h100; E037@h100; E038@h100; E039@h100; E040@h100; E041@h100; E042@h100; E043@h100; E047@h100; E048@h100; E049@h100; E050@h100; E051@h100; E052@h100; E053@h100; E054@h100; E055@h100; E056@h100; E057@h100; E058@h100; E059@h100; E060@h100; E061@h100; E062@h100; E121@h100; E122@h100; E125@h100; E126@h100; E130@h100; E132@h100; E133@h100; E134@h100; E135@h100; E136@h100; E137@h100; E138@h100; E139@h100; E140@h100; E141@h100; E142@h100; E143@h100; E144@h100; E145@h100; E146@h100; E147@h100; E178@h100; E180@h100; E181@h100; E182@h100; E183@h100; E184@h100; E185@h100; E186@h100; E187@h100; E188@h100; E189@h100; E190@h100; E191@h100; E192@h100; E193@h100; E194@h100; E195@h100,260 completed measured-region energy trial(s) are eligible for energy analysis; legacy full-window estimates are excluded.,Only measured-region energy records with sufficient samples are eligible for energy-efficiency conclusions.
RQ5,Useful work efficiency,Which configurations produce the best useful work per GPU-hour and per Watt?,h100,platform_specific,4,12,12,4,12,sufficient,E210@h100; E211@h100; E212@h100; E213@h100,12 completed measured-region energy trial(s) are eligible for energy analysis; legacy full-window estimates are excluded.,Only measured-region energy records with sufficient samples are eligible for energy-efficiency conclusions.
RQ5,Useful work efficiency,Which configurations produce the best useful work per GPU-hour and per Watt?,l40s,capacity_adjusted,5,15,15,5,0,partial_energy_evidence,E201@l40s; E202@l40s; E205@l40s; E208@l40s; E209@l40s,0 completed measured-region energy trial(s) are eligible for energy analysis; legacy full-window estimates are excluded.,Only measured-region energy records with sufficient samples are eligible for energy-efficiency conclusions.
RQ5,Useful work efficiency,Which configurations produce the best useful work per GPU-hour and per Watt?,l40s,exact,167,501,501,167,51,partial_energy_evidence,E008@l40s; E009@l40s; E010@l40s; E011@l40s; E012@l40s; E013@l40s; E014@l40s; E015@l40s; E016@l40s; E017@l40s; E018@l40s; E019@l40s; E020@l40s; E021@l40s; E022@l40s; E023@l40s; E024@l40s; E025@l40s; E026@l40s; E027@l40s; E028@l40s; E029@l40s; E030@l40s; E031@l40s; E034@l40s; E035@l40s; E036@l40s; E037@l40s; E038@l40s; E039@l40s; E040@l40s; E041@l40s; E042@l40s; E043@l40s; E045@l40s; E046@l40s; E047@l40s; E048@l40s; E049@l40s; E050@l40s; E051@l40s; E052@l40s; E053@l40s; E054@l40s; E055@l40s; E056@l40s; E057@l40s; E058@l40s; E059@l40s; E060@l40s; E061@l40s; E062@l40s; E063@l40s; E064@l40s; E065@l40s; E066@l40s; E069@l40s; E070@l40s; E071@l40s; E072@l40s; E073@l40s; E074@l40s; E075@l40s; E076@l40s; E077@l40s; E078@l40s; E079@l40s; E080@l40s; E081@l40s; E082@l40s; E083@l40s; E084@l40s; E085@l40s; E087@l40s; E088@l40s; E090@l40s; E091@l40s; E092@l40s; E094@l40s; E095@l40s; E097@l40s; E098@l40s; E099@l40s; E100@l40s; E101@l40s; E102@l40s; E103@l40s; E104@l40s; E105@l40s; E106@l40s; E107@l40s; E108@l40s; E109@l40s; E110@l40s; E111@l40s; E112@l40s; E123@l40s; E124@l40s; E127@l40s; E128@l40s; E129@l40s; E130@l40s; E132@l40s; E133@l40s; E134@l40s; E135@l40s; E136@l40s; E137@l40s; E138@l40s; E139@l40s; E140@l40s; E141@l40s; E142@l40s; E143@l40s; E144@l40s; E145@l40s; E146@l40s; E147@l40s; E149@l40s; E150@l40s; E151@l40s; E153@l40s; E156@l40s; E157@l40s; E158@l40s; E159@l40s; E160@l40s; E161@l40s; E162@l40s; E163@l40s; E164@l40s; E165@l40s; E166@l40s; E167@l40s; E168@l40s; E169@l40s; E170@l40s; E171@l40s; E172@l40s; E173@l40s; E174@l40s; E177@l40s; E178@l40s; E180@l40s; E181@l40s; E182@l40s; E183@l40s; E184@l40s; E185@l40s; E186@l40s; E187@l40s; E188@l40s; E189@l40s; E190@l40s; E191@l40s; E192@l40s; E193@l40s; E194@l40s; E195@l40s; E197@l40s; E198@l40s; E199@l40s; E216@l40s; E217@l40s; E218@l40s; E219@l40s; E220@l40s,51 completed measured-region energy trial(s) are eligible for energy analysis; legacy full-window estimates are excluded.,Only measured-region energy records with sufficient samples are eligible for energy-efficiency conclusions.
RQ5,Useful work efficiency,Which configurations produce the best useful work per GPU-hour and per Watt?,l40s,platform_specific,9,27,27,9,3,partial_energy_evidence,E113@l40s; E114@l40s; E117@l40s; E118@l40s; E210@l40s; E211@l40s; E212@l40s; E213@l40s; E214@l40s,3 completed measured-region energy trial(s) are eligible for energy analysis; legacy full-window estimates are excluded.,Only measured-region energy records with sufficient samples are eligible for energy-efficiency conclusions.
RQ6,Hardware comparison,How do H100 and L40S platforms compare for selected AI workloads?,h100,exact,4,12,12,4,11,awaiting_matched_platform,E121@h100; E122@h100; E125@h100; E126@h100,Use only matched condition IDs and exact comparability classes for a hardware comparison.,A hardware conclusion requires matched exact L40S and H100 conditions; raw trials are never pooled.
RQ6,Hardware comparison,How do H100 and L40S platforms compare for selected AI workloads?,l40s,exact,4,12,12,4,0,awaiting_matched_platform,E123@l40s; E124@l40s; E127@l40s; E128@l40s,Use only matched condition IDs and exact comparability classes for a hardware comparison.,A hardware conclusion requires matched exact L40S and H100 conditions; raw trials are never pooled.
RQ7,Evidence-driven recommendations,Can results be integrated into a dashboard that identifies bottlenecks and supports practical recommendations?,h100,exact,87,261,261,87,260,sufficient,E008@h100; E009@h100; E010@h100; E011@h100; E012@h100; E013@h100; E014@h100; E015@h100; E018@h100; E019@h100; E020@h100; E021@h100; E022@h100; E023@h100; E024@h100; E025@h100; E026@h100; E027@h100; E028@h100; E029@h100; E030@h100; E031@h100; E033@h100; E034@h100; E035@h100; E036@h100; E037@h100; E038@h100; E039@h100; E040@h100; E041@h100; E042@h100; E043@h100; E047@h100; E048@h100; E049@h100; E050@h100; E051@h100; E052@h100; E053@h100; E054@h100; E055@h100; E056@h100; E057@h100; E058@h100; E059@h100; E060@h100; E061@h100; E062@h100; E121@h100; E122@h100; E125@h100; E126@h100; E130@h100; E132@h100; E133@h100; E134@h100; E135@h100; E136@h100; E137@h100; E138@h100; E139@h100; E140@h100; E141@h100; E142@h100; E143@h100; E144@h100; E145@h100; E146@h100; E147@h100; E178@h100; E180@h100; E181@h100; E182@h100; E183@h100; E184@h100; E185@h100; E186@h100; E187@h100; E188@h100; E189@h100; E190@h100; E191@h100; E192@h100; E193@h100; E194@h100; E195@h100,Completed evidence is grouped within this platform and comparability class.,Recommendations remain conditional on the available platform coverage and trial evidence.
RQ7,Evidence-driven recommendations,Can results be integrated into a dashboard that identifies bottlenecks and supports practical recommendations?,h100,platform_specific,4,12,12,4,12,sufficient,E210@h100; E211@h100; E212@h100; E213@h100,Completed evidence is grouped within this platform and comparability class.,Recommendations remain conditional on the available platform coverage and trial evidence.
RQ7,Evidence-driven recommendations,Can results be integrated into a dashboard that identifies bottlenecks and supports practical recommendations?,l40s,capacity_adjusted,5,15,15,5,0,sufficient,E201@l40s; E202@l40s; E205@l40s; E208@l40s; E209@l40s,Completed evidence is grouped within this platform and comparability class.,Recommendations remain conditional on the available platform coverage and trial evidence.
RQ7,Evidence-driven recommendations,Can results be integrated into a dashboard that identifies bottlenecks and supports practical recommendations?,l40s,exact,167,501,501,167,51,sufficient,E008@l40s; E009@l40s; E010@l40s; E011@l40s; E012@l40s; E013@l40s; E014@l40s; E015@l40s; E016@l40s; E017@l40s; E018@l40s; E019@l40s; E020@l40s; E021@l40s; E022@l40s; E023@l40s; E024@l40s; E025@l40s; E026@l40s; E027@l40s; E028@l40s; E029@l40s; E030@l40s; E031@l40s; E034@l40s; E035@l40s; E036@l40s; E037@l40s; E038@l40s; E039@l40s; E040@l40s; E041@l40s; E042@l40s; E043@l40s; E045@l40s; E046@l40s; E047@l40s; E048@l40s; E049@l40s; E050@l40s; E051@l40s; E052@l40s; E053@l40s; E054@l40s; E055@l40s; E056@l40s; E057@l40s; E058@l40s; E059@l40s; E060@l40s; E061@l40s; E062@l40s; E063@l40s; E064@l40s; E065@l40s; E066@l40s; E069@l40s; E070@l40s; E071@l40s; E072@l40s; E073@l40s; E074@l40s; E075@l40s; E076@l40s; E077@l40s; E078@l40s; E079@l40s; E080@l40s; E081@l40s; E082@l40s; E083@l40s; E084@l40s; E085@l40s; E087@l40s; E088@l40s; E090@l40s; E091@l40s; E092@l40s; E094@l40s; E095@l40s; E097@l40s; E098@l40s; E099@l40s; E100@l40s; E101@l40s; E102@l40s; E103@l40s; E104@l40s; E105@l40s; E106@l40s; E107@l40s; E108@l40s; E109@l40s; E110@l40s; E111@l40s; E112@l40s; E123@l40s; E124@l40s; E127@l40s; E128@l40s; E129@l40s; E130@l40s; E132@l40s; E133@l40s; E134@l40s; E135@l40s; E136@l40s; E137@l40s; E138@l40s; E139@l40s; E140@l40s; E141@l40s; E142@l40s; E143@l40s; E144@l40s; E145@l40s; E146@l40s; E147@l40s; E149@l40s; E150@l40s; E151@l40s; E153@l40s; E156@l40s; E157@l40s; E158@l40s; E159@l40s; E160@l40s; E161@l40s; E162@l40s; E163@l40s; E164@l40s; E165@l40s; E166@l40s; E167@l40s; E168@l40s; E169@l40s; E170@l40s; E171@l40s; E172@l40s; E173@l40s; E174@l40s; E177@l40s; E178@l40s; E180@l40s; E181@l40s; E182@l40s; E183@l40s; E184@l40s; E185@l40s; E186@l40s; E187@l40s; E188@l40s; E189@l40s; E190@l40s; E191@l40s; E192@l40s; E193@l40s; E194@l40s; E195@l40s; E197@l40s; E198@l40s; E199@l40s; E216@l40s; E217@l40s; E218@l40s; E219@l40s; E220@l40s,Completed evidence is grouped within this platform and comparability class.,Recommendations remain conditional on the available platform coverage and trial evidence.
RQ7,Evidence-driven recommendations,Can results be integrated into a dashboard that identifies bottlenecks and supports practical recommendations?,l40s,platform_specific,9,27,27,9,3,sufficient,E113@l40s; E114@l40s; E117@l40s; E118@l40s; E210@l40s; E211@l40s; E212@l40s; E213@l40s; E214@l40s,Completed evidence is grouped within this platform and comparability class.,Recommendations remain conditional on the available platform coverage and trial evidence.
